epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.8332,2.3819,11.3435,1.93508,0.34505,0.16568,0.16472,0.05761,1.8435,6.68436,1.58026,0.00048,0.00048,0.00048
2,89.3656,1.82367,4.46949,1.44955,0.55589,0.68571,0.57213,0.31448,1.55015,2.34709,1.65339,0.00097903,0.00097903,0.00097903
3,96.9145,1.72028,2.26061,1.72224,0.76413,0.71429,0.72294,0.3762,1.72987,1.73037,1.89427,0.00147707,0.00147707,0.00147707
4,104.337,1.69867,1.67801,1.58039,0.89176,0.82388,0.8435,0.44725,1.62285,1.2041,1.71545,0.00197412,0.00197412,0.00197412
5,111.649,1.68683,1.29594,1.61205,0.81468,0.87927,0.86744,0.43731,1.54777,1.12296,1.70606,0.00199208,0.00199208,0.00199208
6,118.957,1.69059,1.22983,1.66533,0.85242,0.77143,0.78962,0.40416,1.60781,1.10571,1.75389,0.0019901,0.0019901,0.0019901
7,126.115,1.62121,1.15262,1.59753,0.82885,0.72857,0.82123,0.42305,1.52481,1.2745,1.78915,0.00198812,0.00198812,0.00198812
8,133.459,1.69213,1.16482,1.6147,0.8856,0.7742,0.84556,0.42451,1.55069,1.08872,1.77796,0.00198614,0.00198614,0.00198614
9,140.636,1.6745,1.18391,1.7035,0.77358,0.71429,0.77287,0.39628,1.57575,1.33366,1.66982,0.00198416,0.00198416,0.00198416
10,147.791,1.6922,1.18909,1.62278,0.82762,0.9,0.88295,0.47058,1.49608,1.06898,1.65126,0.00198218,0.00198218,0.00198218
11,155.019,1.60516,1.07231,1.56431,0.86577,0.84286,0.84544,0.43906,1.42587,1.07356,1.60071,0.0019802,0.0019802,0.0019802
12,162.321,1.66249,1.08501,1.66337,0.84489,0.91429,0.91199,0.4798,1.50777,0.97122,1.6321,0.00197822,0.00197822,0.00197822
13,169.548,1.6192,1.05683,1.62968,0.88871,0.79857,0.84855,0.47686,1.35927,1.11123,1.58372,0.00197624,0.00197624,0.00197624
14,176.859,1.66734,1.0723,1.6101,0.8914,0.78571,0.87801,0.49727,1.4408,0.92194,1.60248,0.00197426,0.00197426,0.00197426
15,184.212,1.55455,1.00903,1.50929,0.84148,0.77143,0.84409,0.4818,1.54151,0.99355,1.67075,0.00197228,0.00197228,0.00197228
16,191.555,1.55398,0.98102,1.52949,0.90224,0.79113,0.86264,0.46997,1.48938,1.00522,1.59095,0.0019703,0.0019703,0.0019703
17,198.732,1.56913,1.03328,1.46565,0.85072,0.89558,0.88641,0.48806,1.47564,0.98103,1.68199,0.00196832,0.00196832,0.00196832
18,205.931,1.46794,0.93519,1.51167,0.90998,0.88571,0.92939,0.53567,1.47791,0.8907,1.63292,0.00196634,0.00196634,0.00196634
19,213.351,1.51742,0.93724,1.4856,0.87163,0.873,0.88799,0.49423,1.48458,0.85726,1.65366,0.00196436,0.00196436,0.00196436
20,220.764,1.53581,1.01422,1.54691,0.87406,0.9,0.88864,0.45896,1.47249,0.95952,1.67098,0.00196238,0.00196238,0.00196238
21,228.165,1.62804,0.98887,1.64874,0.91003,0.86702,0.8929,0.47901,1.40246,0.97197,1.62643,0.0019604,0.0019604,0.0019604
22,235.474,1.54623,0.94484,1.59343,0.90136,0.87143,0.87312,0.46899,1.49929,0.91074,1.70995,0.00195842,0.00195842,0.00195842
23,242.939,1.51068,0.90606,1.50908,0.86686,0.82857,0.88076,0.4876,1.48145,0.86417,1.64563,0.00195644,0.00195644,0.00195644
24,250.271,1.54416,0.98259,1.51082,0.85519,0.87143,0.85338,0.42377,1.58551,0.9439,1.72026,0.00195446,0.00195446,0.00195446
25,257.595,1.4974,0.95137,1.52097,0.81809,0.92857,0.86675,0.4454,1.5367,1.00085,1.61431,0.00195248,0.00195248,0.00195248
26,264.885,1.52804,0.94147,1.49834,0.91047,0.91429,0.92231,0.4497,1.39774,0.88034,1.57248,0.0019505,0.0019505,0.0019505
27,272.179,1.50643,0.92343,1.52115,0.86251,0.9,0.88259,0.50898,1.45196,0.9402,1.60044,0.00194852,0.00194852,0.00194852
28,279.361,1.44425,1.00236,1.472,0.88671,0.89453,0.89489,0.48578,1.41899,0.9146,1.62036,0.00194654,0.00194654,0.00194654
