epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.7602,2.51368,11.2361,2.00001,0.33945,0.2,0.23627,0.09985,1.80434,5.34028,1.48053,0.0004,0.0004,0.0004
2,69.6102,1.89778,4.72052,1.46117,0.75178,0.74286,0.78786,0.35211,1.7247,2.62892,1.54653,0.000819188,0.000819188,0.000819188
3,88.9651,1.73819,2.32046,1.60212,0.83146,0.8,0.80365,0.42096,1.69532,1.65979,1.78297,0.00123754,0.00123754,0.00123754
4,100.542,1.76866,1.78314,1.6551,0.81748,0.89581,0.8983,0.44977,1.59037,1.2169,1.74264,0.00165507,0.00165507,0.00165507
5,109.693,1.67991,1.4074,1.53444,0.85274,0.74457,0.82017,0.42444,1.65187,1.21776,1.75106,0.00199208,0.00199208,0.00199208
6,120.604,1.64999,1.28147,1.58116,0.83326,0.82857,0.81277,0.34954,1.82933,1.20505,1.92271,0.0019901,0.0019901,0.0019901
7,126.97,1.66461,1.24027,1.68403,0.76363,0.78462,0.80995,0.37466,1.77859,1.2015,1.96187,0.00198812,0.00198812,0.00198812
8,132.262,1.70415,1.17708,1.59225,0.83145,0.87143,0.87145,0.47415,1.60402,1.0215,1.87558,0.00198614,0.00198614,0.00198614
9,137.406,1.53977,1.03767,1.51525,0.92456,0.9,0.95573,0.49873,1.52776,0.93195,1.76418,0.00198416,0.00198416,0.00198416
10,142.478,1.58412,1.0594,1.58683,0.88893,0.84286,0.91627,0.48125,1.57762,1.01752,1.76512,0.00198218,0.00198218,0.00198218
11,147.603,1.66117,1.09689,1.63304,0.90045,0.90456,0.92208,0.48774,1.56026,0.92682,1.72729,0.0019802,0.0019802,0.0019802
12,153.053,1.62204,1.05441,1.59312,0.88313,0.92857,0.93306,0.5082,1.53683,0.9216,1.73189,0.00197822,0.00197822,0.00197822
13,158.361,1.59351,1.08627,1.55801,0.86069,0.88262,0.90363,0.50025,1.5467,0.91474,1.68733,0.00197624,0.00197624,0.00197624
14,163.505,1.56983,1.00539,1.52755,0.89833,0.88364,0.92817,0.52988,1.56805,0.82317,1.74541,0.00197426,0.00197426,0.00197426
15,168.829,1.54504,0.99017,1.53463,0.92086,0.9,0.94106,0.51605,1.53596,0.86751,1.70037,0.00197228,0.00197228,0.00197228
16,174.486,1.54608,1.02946,1.61672,0.93902,0.97143,0.97348,0.55097,1.50527,0.79618,1.68946,0.0019703,0.0019703,0.0019703
17,179.994,1.53451,0.97167,1.54795,0.88192,0.96033,0.93252,0.50816,1.56369,0.9085,1.74832,0.00196832,0.00196832,0.00196832
18,185.469,1.54044,0.94457,1.52011,0.85893,0.94286,0.9226,0.48281,1.5358,0.8431,1.70967,0.00196634,0.00196634,0.00196634
19,191.146,1.54535,0.88088,1.52493,0.8911,0.93523,0.8951,0.50152,1.50754,0.81279,1.67272,0.00196436,0.00196436,0.00196436
20,196.715,1.5762,0.99793,1.57137,0.85093,0.94286,0.88138,0.47602,1.49221,0.92678,1.68457,0.00196238,0.00196238,0.00196238
21,202.244,1.50562,0.98923,1.51142,0.92903,0.91429,0.94249,0.52732,1.52435,0.82187,1.70409,0.0019604,0.0019604,0.0019604
22,207.636,1.5556,0.95354,1.51038,0.90547,0.95782,0.94863,0.53544,1.45726,0.792,1.61957,0.00195842,0.00195842,0.00195842
23,213.022,1.46508,0.87348,1.4676,0.88302,0.97054,0.94289,0.51915,1.53989,0.82009,1.63377,0.00195644,0.00195644,0.00195644
24,218.597,1.57313,0.97447,1.52492,0.9052,0.97143,0.94313,0.50342,1.55777,0.81515,1.70593,0.00195446,0.00195446,0.00195446
25,223.937,1.55232,0.92671,1.54104,0.91621,0.93733,0.92373,0.53276,1.50549,0.83826,1.73606,0.00195248,0.00195248,0.00195248
26,229.322,1.46481,0.91381,1.48266,0.89404,0.97143,0.9425,0.52346,1.44297,0.78793,1.63817,0.0019505,0.0019505,0.0019505
1,21.7847,2.52263,11.1872,2.00032,0.36692,0.22363,0.25398,0.09834,1.85206,5.23301,1.47994,0.0004,0.0004,0.0004
2,28.9719,1.91816,4.69357,1.47077,0.81319,0.74286,0.83189,0.37627,1.65754,2.40412,1.49418,0.000819188,0.000819188,0.000819188
3,34.5334,1.70507,2.31565,1.57793,0.80851,0.78412,0.88113,0.44951,1.60833,1.72919,1.77075,0.00123754,0.00123754,0.00123754
4,39.6885,1.766,1.74572,1.66672,0.8595,0.87397,0.86065,0.44208,1.67405,1.32765,1.79531,0.00165507,0.00165507,0.00165507
5,45.0355,1.67411,1.40771,1.55789,0.82441,0.71429,0.81637,0.42284,1.65667,1.17871,1.81272,0.00199208,0.00199208,0.00199208
6,50.437,1.69415,1.28068,1.60345,0.88597,0.777,0.86103,0.44552,1.53896,1.04124,1.70453,0.0019901,0.0019901,0.0019901
7,55.7395,1.63346,1.2269,1.67312,0.82694,0.88742,0.89604,0.4521,1.61439,1.13546,1.74981,0.00198812,0.00198812,0.00198812
8,61.2817,1.66986,1.20387,1.58554,0.83422,0.91429,0.86684,0.46802,1.61399,0.9314,1.81262,0.00198614,0.00198614,0.00198614
9,66.5855,1.58215,1.08664,1.52093,0.92471,0.87736,0.92177,0.49845,1.54089,1.12008,1.77492,0.00198416,0.00198416,0.00198416
10,71.8536,1.60044,1.02929,1.58211,0.91891,0.80945,0.90873,0.46511,1.62396,1.36262,1.7555,0.00198218,0.00198218,0.00198218
11,77.3137,1.6509,1.10024,1.65583,0.84864,0.78571,0.88742,0.47656,1.5613,1.05302,1.69361,0.0019802,0.0019802,0.0019802
12,82.6883,1.59292,1.00857,1.55692,0.92352,0.86258,0.94018,0.50712,1.57916,0.8867,1.72395,0.00197822,0.00197822,0.00197822
