epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.5627,2.58664,7.78412,2.10402,0.26404,0.31944,0.25947,0.09587,1.73934,4.32269,1.47448,0.0004,0.0004,0.0004
2,71.4756,1.9678,3.64999,1.53162,0.81938,0.75611,0.80476,0.37153,1.55158,1.94873,1.50095,0.000819188,0.000819188,0.000819188
3,95.3679,1.63194,1.90391,1.58441,0.79238,0.79513,0.83581,0.4014,1.63414,1.39224,1.80445,0.00123754,0.00123754,0.00123754
4,127.67,1.72585,1.4857,1.61376,0.83714,0.80556,0.86729,0.42082,1.67581,1.19224,1.84484,0.00165507,0.00165507,0.00165507
5,146.88,1.65996,1.27286,1.57027,0.78212,0.91667,0.85134,0.39821,1.59374,1.13394,1.80478,0.00199208,0.00199208,0.00199208
6,173.566,1.63533,1.20867,1.56388,0.85066,0.87031,0.87458,0.45731,1.60965,1.00997,1.88539,0.0019901,0.0019901,0.0019901
7,182.314,1.60502,1.16623,1.59971,0.90899,0.94444,0.94239,0.47955,1.5313,0.87933,1.75394,0.00198812,0.00198812,0.00198812
8,190.72,1.60581,1.08151,1.57224,0.90554,0.875,0.92363,0.48573,1.6045,0.89713,1.78109,0.00198614,0.00198614,0.00198614
9,199.088,1.58234,1.05407,1.55964,0.86078,0.94444,0.9086,0.46643,1.5492,0.98238,1.7484,0.00198416,0.00198416,0.00198416
10,206.728,1.49754,0.98413,1.48382,0.892,0.9177,0.91722,0.50603,1.488,0.90695,1.6196,0.00198218,0.00198218,0.00198218
11,214.158,1.51228,1.00395,1.46481,0.89704,0.86111,0.88889,0.51461,1.51319,0.86096,1.63483,0.0019802,0.0019802,0.0019802
12,220.836,1.48674,0.92535,1.50611,0.90338,0.98611,0.94005,0.50569,1.51259,0.77018,1.62737,0.00197822,0.00197822,0.00197822
13,244.491,1.48786,0.95215,1.48479,0.84687,0.92176,0.88728,0.49313,1.4545,0.86597,1.58033,0.00197624,0.00197624,0.00197624
14,258.839,1.4618,0.89836,1.42527,0.93034,0.86111,0.93593,0.51736,1.45062,0.89398,1.66228,0.00197426,0.00197426,0.00197426
15,273.094,1.43589,0.87806,1.43328,0.87499,0.94444,0.92208,0.52325,1.47083,0.80722,1.66969,0.00197228,0.00197228,0.00197228
16,285.743,1.44219,0.89645,1.46419,0.9067,0.94444,0.94338,0.5586,1.46113,0.71247,1.67657,0.0019703,0.0019703,0.0019703
17,301.189,1.38383,0.89352,1.47229,0.93101,0.93719,0.94631,0.55065,1.40633,0.75163,1.64133,0.00196832,0.00196832,0.00196832
18,315.586,1.41263,0.86785,1.4297,0.92786,0.8933,0.93256,0.5126,1.44586,0.81899,1.6466,0.00196634,0.00196634,0.00196634
19,334.443,1.36258,0.82377,1.4248,0.92119,0.93056,0.94656,0.52878,1.45605,0.7515,1.65757,0.00196436,0.00196436,0.00196436
20,358.384,1.40422,0.88926,1.4065,0.91844,0.93849,0.92149,0.55633,1.4051,0.72921,1.64501,0.00196238,0.00196238,0.00196238
21,381.883,1.33935,0.8143,1.39958,0.88021,0.91848,0.91509,0.52453,1.49893,0.80899,1.64979,0.0019604,0.0019604,0.0019604
22,397.187,1.33919,0.84699,1.38686,0.90725,0.95107,0.91825,0.51642,1.47122,0.75507,1.66363,0.00195842,0.00195842,0.00195842
23,411.93,1.31461,0.81245,1.35368,0.9285,0.95833,0.94266,0.52796,1.4374,0.77741,1.60115,0.00195644,0.00195644,0.00195644
24,423.695,1.34485,0.80466,1.40679,0.89194,0.91716,0.91532,0.53088,1.4438,0.77126,1.65738,0.00195446,0.00195446,0.00195446
25,447.714,1.36725,0.81775,1.42517,0.95164,0.91667,0.9469,0.55822,1.40893,0.75759,1.6034,0.00195248,0.00195248,0.00195248
26,469.812,1.37068,0.81441,1.45578,0.89359,0.91667,0.9325,0.54303,1.46577,0.78537,1.65504,0.0019505,0.0019505,0.0019505
27,492.255,1.25794,0.78857,1.34033,0.90429,0.93056,0.91918,0.53394,1.45333,0.79411,1.6897,0.00194852,0.00194852,0.00194852
28,516.229,1.22294,0.76542,1.30777,0.90651,0.93056,0.95638,0.57088,1.43109,0.72416,1.60958,0.00194654,0.00194654,0.00194654
29,537.811,1.25876,0.76902,1.36639,0.90752,0.95414,0.93862,0.57008,1.37467,0.73401,1.5524,0.00194456,0.00194456,0.00194456
