epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.785,2.45548,4.93364,2.01795,0.27394,0.40876,0.24313,0.09353,1.68174,2.57875,1.57873,0.0004,0.0004,0.0004
2,53.0277,1.87956,2.19859,1.65983,0.86224,0.86933,0.88056,0.44138,1.5872,1.24308,1.70522,0.000819188,0.000819188,0.000819188
3,57.0171,1.67224,1.44887,1.5856,0.81909,0.8175,0.84524,0.36851,1.69179,1.05594,1.87504,0.00123754,0.00123754,0.00123754
4,60.9454,1.6281,1.18423,1.60794,0.60188,0.76389,0.65392,0.32777,1.69703,1.38338,1.90188,0.00165507,0.00165507,0.00165507
5,64.834,1.6276,1.1692,1.54072,0.82266,0.90203,0.89704,0.45152,1.60717,0.96178,1.7137,0.00199208,0.00199208,0.00199208
6,68.7958,1.6699,1.16511,1.58554,0.9327,0.91667,0.94996,0.50949,1.46325,0.87194,1.59966,0.0019901,0.0019901,0.0019901
7,72.6874,1.64984,1.08816,1.59138,0.85987,0.93751,0.91482,0.47073,1.5314,0.88749,1.67846,0.00198812,0.00198812,0.00198812
8,76.691,1.61401,1.00744,1.56169,0.89169,0.91474,0.92774,0.50976,1.46425,0.75756,1.63568,0.00198614,0.00198614,0.00198614
9,80.5216,1.54139,1.00039,1.54651,0.85198,0.8794,0.84444,0.44363,1.56028,0.9423,1.75279,0.00198416,0.00198416,0.00198416
10,84.465,1.46181,0.93134,1.47977,0.90914,0.83384,0.8977,0.4561,1.54684,0.90649,1.71823,0.00198218,0.00198218,0.00198218
11,88.4284,1.53303,0.98136,1.55133,0.92556,0.83333,0.87879,0.44847,1.57336,0.93957,1.79301,0.0019802,0.0019802,0.0019802
12,92.5062,1.44204,0.87714,1.49781,0.74664,0.85955,0.79943,0.42984,1.50932,0.92519,1.68759,0.00197822,0.00197822,0.00197822
13,96.2745,1.45469,0.93377,1.45951,0.8913,0.91109,0.91454,0.47538,1.64104,0.91995,1.80771,0.00197624,0.00197624,0.00197624
14,99.8162,1.46689,0.88914,1.45081,0.8801,0.94444,0.92784,0.4756,1.51248,0.84197,1.74261,0.00197426,0.00197426,0.00197426
15,103.344,1.42761,0.84515,1.44715,0.86416,0.91667,0.9298,0.50821,1.49804,0.78914,1.68751,0.00197228,0.00197228,0.00197228
16,106.756,1.45016,0.8639,1.47701,0.94349,0.92754,0.94847,0.5233,1.49655,0.81006,1.73205,0.0019703,0.0019703,0.0019703
17,110.104,1.35975,0.85113,1.46456,0.90053,0.91667,0.89683,0.50988,1.44231,0.77117,1.58989,0.00196832,0.00196832,0.00196832
18,113.585,1.3755,0.83354,1.39824,0.90658,0.875,0.89184,0.49068,1.52036,0.89005,1.70819,0.00196634,0.00196634,0.00196634
19,117.137,1.3407,0.83093,1.43023,0.88846,0.90278,0.89471,0.47537,1.60749,0.82155,1.81713,0.00196436,0.00196436,0.00196436
20,120.571,1.40296,0.8651,1.40833,0.91478,0.88889,0.93599,0.53072,1.49818,0.79603,1.69177,0.00196238,0.00196238,0.00196238
21,123.95,1.32967,0.82575,1.38831,0.90841,0.96431,0.92281,0.52853,1.47413,0.73992,1.69666,0.0019604,0.0019604,0.0019604
22,127.429,1.34932,0.82038,1.37665,0.90761,0.95514,0.90468,0.51025,1.4803,0.73487,1.65155,0.00195842,0.00195842,0.00195842
23,130.951,1.28898,0.77285,1.34897,0.90697,0.94789,0.92647,0.5394,1.37423,0.71709,1.56664,0.00195644,0.00195644,0.00195644
24,134.401,1.30929,0.77711,1.36797,0.93471,0.91667,0.92448,0.54031,1.45795,0.75085,1.61179,0.00195446,0.00195446,0.00195446
25,137.826,1.26695,0.7684,1.36793,0.94281,0.95833,0.9401,0.54554,1.47371,0.72496,1.75748,0.00195248,0.00195248,0.00195248
26,141.262,1.35173,0.77254,1.45315,0.91782,0.93065,0.92468,0.53881,1.50042,0.72729,1.65635,0.0019505,0.0019505,0.0019505
27,144.719,1.26199,0.78402,1.32504,0.93495,0.90278,0.93258,0.55448,1.44993,0.73219,1.68383,0.00194852,0.00194852,0.00194852
28,148.071,1.26099,0.75343,1.33655,0.92331,0.91667,0.93516,0.55599,1.43816,0.72233,1.67356,0.00194654,0.00194654,0.00194654
29,151.434,1.31028,0.78799,1.38259,0.92872,0.90278,0.93644,0.54763,1.39305,0.76706,1.62965,0.00194456,0.00194456,0.00194456
30,154.774,1.2253,0.73835,1.29346,0.91752,0.92705,0.91123,0.54796,1.41819,0.72751,1.6501,0.00194258,0.00194258,0.00194258
31,158.546,1.27728,0.78484,1.37273,0.89619,0.94444,0.8863,0.52055,1.47108,0.79317,1.64973,0.0019406,0.0019406,0.0019406
32,162.145,1.23402,0.73925,1.32736,0.90786,0.95797,0.93102,0.5352,1.47509,0.74619,1.69494,0.00193862,0.00193862,0.00193862
33,165.511,1.24925,0.74959,1.33119,0.87668,0.95833,0.91671,0.5439,1.45347,0.72137,1.60771,0.00193664,0.00193664,0.00193664
34,168.806,1.21873,0.73935,1.35814,0.88761,0.91667,0.90596,0.52907,1.48618,0.74389,1.59271,0.00193466,0.00193466,0.00193466
35,171.979,1.15397,0.68238,1.24136,0.88248,0.93867,0.93529,0.58009,1.35364,0.72724,1.54028,0.00193268,0.00193268,0.00193268
36,175.204,1.22031,0.73431,1.3041,0.91889,0.94403,0.92072,0.56656,1.38561,0.75319,1.60666,0.0019307,0.0019307,0.0019307
37,178.479,1.1872,0.68979,1.30649,0.89276,0.94444,0.93154,0.4973,1.51113,0.76758,1.66169,0.00192872,0.00192872,0.00192872
38,181.897,1.24755,0.74054,1.33319,0.87099,0.93771,0.89707,0.52213,1.51085,0.76096,1.79333,0.00192674,0.00192674,0.00192674
39,185.325,1.22494,0.73961,1.29868,0.83494,0.91334,0.89004,0.52989,1.39665,0.80202,1.604,0.00192476,0.00192476,0.00192476
40,188.944,1.11252,0.67407,1.23406,0.86385,0.88889,0.87011,0.53536,1.38722,0.80247,1.58078,0.00192278,0.00192278,0.00192278
41,192.62,1.12511,0.67515,1.26475,0.89734,0.97123,0.92974,0.554,1.37708,0.72142,1.58308,0.0019208,0.0019208,0.0019208
42,195.931,1.15701,0.70137,1.25218,0.90513,0.94444,0.93401,0.5701,1.37683,0.66686,1.58024,0.00191882,0.00191882,0.00191882
43,199.451,1.14281,0.69824,1.29395,0.91358,0.91667,0.93676,0.54862,1.41735,0.70497,1.60574,0.00191684,0.00191684,0.00191684
44,202.89,1.16635,0.70428,1.29155,0.91432,0.94444,0.94529,0.52878,1.43327,0.77779,1.67838,0.00191486,0.00191486,0.00191486
45,206.374,1.13395,0.70143,1.29837,0.85547,0.91667,0.90211,0.52031,1.44158,0.83027,1.66733,0.00191288,0.00191288,0.00191288
