epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1097,1.1592,0.70596,1.30089,0.94328,0.94444,0.93334,0.56789,1.35275,0.65847,1.55419,0.0004,0.0004,0.0004
2,79.9652,1.14084,0.66198,1.27311,0.93236,0.95723,0.94276,0.58773,1.31669,0.65497,1.5674,0.000819188,0.000819188,0.000819188
3,91.0765,1.0733,0.64041,1.23697,0.92907,0.90972,0.92042,0.56208,1.33423,0.72899,1.61015,0.00123754,0.00123754,0.00123754
4,101.544,1.07108,0.63274,1.24385,0.87081,0.93056,0.90146,0.54956,1.37539,0.73215,1.62683,0.00165507,0.00165507,0.00165507
5,111.412,1.06622,0.63973,1.25916,0.93663,0.88889,0.91082,0.55453,1.3864,0.76906,1.61033,0.00199208,0.00199208,0.00199208
6,121.416,1.13621,0.68709,1.31664,0.91625,0.91174,0.89833,0.56896,1.38904,0.70819,1.6049,0.0019901,0.0019901,0.0019901
7,140.034,1.16054,0.7088,1.28752,0.95813,0.95355,0.97395,0.56858,1.37577,0.71256,1.53837,0.00198812,0.00198812,0.00198812
8,160.896,1.16624,0.70389,1.27022,0.95642,0.91438,0.95628,0.53113,1.46003,0.70797,1.6665,0.00198614,0.00198614,0.00198614
9,179.942,1.13724,0.72139,1.28671,0.93382,0.90278,0.94315,0.53948,1.43941,0.72544,1.64238,0.00198416,0.00198416,0.00198416
10,206.363,1.08071,0.66758,1.248,0.91743,0.875,0.9134,0.5199,1.46922,0.78494,1.68311,0.00198218,0.00198218,0.00198218
11,216.363,1.10107,0.68378,1.23308,0.93049,0.92963,0.92692,0.54933,1.45389,0.72162,1.664,0.0019802,0.0019802,0.0019802
12,222.847,1.07594,0.64923,1.23322,0.90658,0.94345,0.91828,0.54274,1.48793,0.71057,1.65962,0.00197822,0.00197822,0.00197822
1,6.61789,2.46359,4.97181,2.05356,0.29921,0.29167,0.21586,0.07339,1.68118,2.87065,1.66922,0.0004,0.0004,0.0004
