epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.45764,2.5007,4.97232,2.05776,0.2264,0.25,0.19327,0.06561,1.65259,3.00038,1.61987,0.0004,0.0004,0.0004
2,11.9498,1.86657,2.23331,1.66815,0.85459,0.86111,0.8798,0.44276,1.53687,1.40929,1.68281,0.000819188,0.000819188,0.000819188
3,15.6234,1.68418,1.4721,1.58046,0.85359,0.77778,0.87146,0.40082,1.61118,1.11731,1.80059,0.00123754,0.00123754,0.00123754
4,19.28,1.65595,1.25248,1.63341,0.86138,0.86308,0.887,0.4706,1.62018,1.06637,1.8223,0.00165507,0.00165507,0.00165507
5,23.2456,1.61993,1.13141,1.57837,0.92098,0.77778,0.86636,0.41086,1.70012,1.13831,1.78242,0.00199208,0.00199208,0.00199208
6,27.2465,1.65088,1.09593,1.58576,0.94161,0.93056,0.95056,0.48288,1.62436,0.83602,1.77871,0.0019901,0.0019901,0.0019901
7,31.243,1.64941,1.06761,1.61548,0.92915,0.91077,0.902,0.47352,1.54923,0.84433,1.70172,0.00198812,0.00198812,0.00198812
8,35.1238,1.59381,1.00559,1.53418,0.91833,0.93056,0.95368,0.46995,1.53231,0.85047,1.67589,0.00198614,0.00198614,0.00198614
9,39.0499,1.6204,1.00659,1.58257,0.90623,0.875,0.8938,0.4799,1.4781,0.82687,1.68222,0.00198416,0.00198416,0.00198416
10,42.5766,1.47048,0.93808,1.51161,0.91916,0.88889,0.91753,0.51618,1.49697,0.86667,1.70082,0.00198218,0.00198218,0.00198218
11,46.1807,1.47567,0.9231,1.47162,0.93261,0.83333,0.89537,0.49233,1.50795,0.8737,1.67853,0.0019802,0.0019802,0.0019802
12,50.0964,1.40499,0.88326,1.42697,0.87608,0.88379,0.90629,0.50008,1.50013,0.92542,1.70303,0.00197822,0.00197822,0.00197822
13,54.1522,1.45851,0.93337,1.46854,0.8439,0.90103,0.91058,0.49254,1.48812,0.89554,1.71203,0.00197624,0.00197624,0.00197624
14,58.073,1.46103,0.90407,1.44466,0.90618,0.93909,0.94098,0.53357,1.4692,0.72574,1.79639,0.00197426,0.00197426,0.00197426
15,61.6913,1.4698,0.87634,1.45568,0.91891,0.94435,0.94622,0.50356,1.5065,0.78152,1.71526,0.00197228,0.00197228,0.00197228
16,65.456,1.42672,0.86582,1.44125,0.90048,0.90278,0.89684,0.51103,1.50372,0.8618,1.64793,0.0019703,0.0019703,0.0019703
17,69.078,1.36558,0.86393,1.48554,0.91392,0.95833,0.93618,0.52767,1.40028,0.82057,1.56066,0.00196832,0.00196832,0.00196832
18,72.8327,1.37618,0.83414,1.41904,0.94085,0.88367,0.91879,0.52259,1.44763,0.86954,1.65042,0.00196634,0.00196634,0.00196634
19,76.3912,1.31868,0.80702,1.41199,0.88118,0.92706,0.91513,0.51259,1.51249,0.72843,1.65495,0.00196436,0.00196436,0.00196436
