epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7157,2.46988,4.97126,2.04635,0.23933,0.20833,0.21973,0.08164,1.7,2.70173,1.6846,0.0004,0.0004,0.0004
2,10.8272,1.87331,2.22648,1.69379,0.80258,0.79167,0.82656,0.40788,1.53374,1.4139,1.70498,0.000819188,0.000819188,0.000819188
3,14.1641,1.65639,1.47732,1.60772,0.87415,0.86832,0.87633,0.38542,1.63398,1.17784,1.81916,0.00123754,0.00123754,0.00123754
4,17.4364,1.65003,1.27803,1.62495,0.73097,0.83025,0.79183,0.39912,1.70305,1.10121,1.87113,0.00165507,0.00165507,0.00165507
5,20.6253,1.6653,1.12502,1.62207,0.57434,0.84722,0.57928,0.27121,1.72092,2.76381,1.83666,0.00199208,0.00199208,0.00199208
6,23.837,1.69778,1.09842,1.61035,0.88443,0.94444,0.94898,0.47765,1.56736,0.83398,1.73842,0.0019901,0.0019901,0.0019901
7,27.064,1.61573,1.05017,1.58437,0.91518,0.89919,0.90692,0.48444,1.54071,0.83648,1.7674,0.00198812,0.00198812,0.00198812
8,30.2552,1.59131,1.02332,1.53272,0.86404,0.94444,0.92476,0.48857,1.52078,0.84061,1.71214,0.00198614,0.00198614,0.00198614
9,33.4403,1.59891,1.03669,1.55553,0.87468,0.87249,0.88757,0.47805,1.50878,0.96396,1.65709,0.00198416,0.00198416,0.00198416
10,36.5867,1.47625,0.93739,1.52784,0.91096,0.81944,0.89281,0.48036,1.49995,1.00048,1.70417,0.00198218,0.00198218,0.00198218
11,39.8387,1.50491,0.94824,1.5096,0.89771,0.83333,0.86718,0.4258,1.62476,1.0389,1.79457,0.0019802,0.0019802,0.0019802
12,43.0365,1.44423,0.89994,1.45526,0.8871,0.90278,0.91716,0.46454,1.58267,0.85362,1.71903,0.00197822,0.00197822,0.00197822
13,46.2167,1.45616,0.94586,1.4373,0.90053,0.83333,0.86845,0.4631,1.52119,0.91901,1.64463,0.00197624,0.00197624,0.00197624
14,49.4032,1.44203,0.87961,1.42298,0.91599,0.91667,0.91501,0.51477,1.50736,0.77512,1.73815,0.00197426,0.00197426,0.00197426
15,52.6008,1.4182,0.8332,1.43434,0.85361,0.91667,0.87637,0.43668,1.56726,0.84487,1.75594,0.00197228,0.00197228,0.00197228
16,55.8272,1.41396,0.8624,1.44662,0.86425,0.88427,0.86232,0.47106,1.60812,0.88672,1.81725,0.0019703,0.0019703,0.0019703
17,59.1643,1.34712,0.84541,1.47367,0.86322,0.875,0.88711,0.4857,1.48755,0.79604,1.75512,0.00196832,0.00196832,0.00196832
18,62.4066,1.36556,0.82394,1.39353,0.91692,0.93056,0.92101,0.51313,1.49602,0.74734,1.73922,0.00196634,0.00196634,0.00196634
19,65.5927,1.31254,0.83148,1.41009,0.93226,0.95571,0.92134,0.5361,1.4383,0.69579,1.63095,0.00196436,0.00196436,0.00196436
20,68.775,1.36193,0.85443,1.37765,0.90643,0.9418,0.88443,0.53058,1.42967,0.73279,1.63124,0.00196238,0.00196238,0.00196238
21,71.9513,1.32515,0.78799,1.40134,0.92579,0.95833,0.93718,0.54875,1.41433,0.70297,1.64194,0.0019604,0.0019604,0.0019604
22,75.1042,1.35702,0.82908,1.40943,0.90662,0.94396,0.89611,0.53235,1.42906,0.70887,1.646,0.00195842,0.00195842,0.00195842
23,78.2549,1.30826,0.82038,1.35978,0.90797,0.88889,0.93916,0.52188,1.46719,0.74363,1.61195,0.00195644,0.00195644,0.00195644
24,81.416,1.28444,0.78801,1.3755,0.85312,0.88889,0.88554,0.50053,1.52981,0.92323,1.54212,0.00195446,0.00195446,0.00195446
25,84.6153,1.28296,0.75001,1.3594,0.88571,0.86105,0.89348,0.51794,1.50017,0.87232,1.59732,0.00195248,0.00195248,0.00195248
26,87.7573,1.35676,0.81264,1.44601,0.85226,0.875,0.89273,0.53795,1.5272,0.79759,1.64569,0.0019505,0.0019505,0.0019505
27,90.9968,1.22985,0.77729,1.31279,0.8923,0.92063,0.91715,0.53207,1.46139,0.74752,1.6699,0.00194852,0.00194852,0.00194852
28,94.1603,1.22797,0.7501,1.31245,0.93179,0.94876,0.9586,0.55956,1.45469,0.69499,1.63949,0.00194654,0.00194654,0.00194654
29,97.3639,1.29262,0.78079,1.36841,0.89739,0.95833,0.95051,0.53523,1.41831,0.7189,1.5762,0.00194456,0.00194456,0.00194456
30,100.541,1.22007,0.73648,1.27996,0.9196,0.95321,0.91877,0.54376,1.44294,0.72298,1.57115,0.00194258,0.00194258,0.00194258
31,103.728,1.2798,0.76531,1.376,0.90037,0.91667,0.90232,0.48666,1.53753,0.76223,1.64577,0.0019406,0.0019406,0.0019406
32,106.937,1.23021,0.727,1.32421,0.90724,0.95092,0.90072,0.49966,1.54008,0.7749,1.75402,0.00193862,0.00193862,0.00193862
33,110.21,1.23124,0.75047,1.34041,0.89267,0.94444,0.89136,0.50902,1.51383,0.76967,1.70845,0.00193664,0.00193664,0.00193664
34,113.508,1.18918,0.73728,1.33429,0.90535,0.92992,0.8885,0.50149,1.49999,0.74918,1.63941,0.00193466,0.00193466,0.00193466
35,116.74,1.20205,0.70493,1.25247,0.92215,0.91667,0.90101,0.54548,1.39163,0.72152,1.63809,0.00193268,0.00193268,0.00193268
36,119.96,1.1899,0.71492,1.30232,0.89028,0.91667,0.88618,0.53522,1.3508,0.74539,1.60081,0.0019307,0.0019307,0.0019307
37,123.143,1.19921,0.68848,1.29846,0.94196,0.90173,0.90214,0.541,1.37041,0.73092,1.62329,0.00192872,0.00192872,0.00192872
38,126.308,1.24095,0.73977,1.30631,0.92614,0.87078,0.89575,0.51179,1.47189,0.75892,1.78125,0.00192674,0.00192674,0.00192674
